Site Id;Site Name;Longitude;Latitude;River
94739;GÓRA KALWARIA;21 12;51 59;WISŁA
5403;GÓRA ŚW.ANNY;18 10;50 27;ODRA
96413;GÓRKI WIELKIE;18 51;49 46;WISŁA
91614;GÓROWO IŁAWECKIE;20 30;54 18;ŁYNA
4101;GRABIK;15 07;51 39;BÓBR
94101;GRABISZYCE GÓRNE;15 12;51 00;BÓBR
95926;GRABOWIEC;23 32;50 49;KALINÓWKA
94743;GRABOWIEC;21 23 07;51 06 07;WISŁA
4303;GRABOWNICA;17 27;51 28;PRADNIA
92827;GRAJEWO;22 27;53 39;BIEBRZA
92750;GRĄDY PODMIEJSKIE;21 57 01;53 49 18;PISA
95736;GRĘBÓW;21 53;50 34;WISŁA
5303;GRODKÓW;17 24;50 41;NYSA KŁODZKA
93402;GRODZIEC;18 03;52 02;WARTA
95468;GRODZIEC;18 16;50 42;MAŁA PANEW
93826;GRODZISK;22 44;52 35;NURZEC
95808;GRODZISKO DOLNE;22 27;50 10;WISŁOK
92908;GRÓDEK;23 40;53 06;SUPRAŚL
93631;GRÓDKOWO;20 12;52 26;WISŁA
92603;GRUDUSK;20 38;53 04;WKRA
2403;GRUDZIĄDZ;18 43;53 26;WISŁA
93326;GRUSZCZYN;17 04 11;52 25 53;WARTA
96634;GRUSZOWIEC;20 11;49 42;DUNAJEC
96628;GRYBÓW;20 57;49 37;DUNAJEC
92014;GRYFINO;14 29;53 15;ODRA
94110;GRYFÓW ŚLĄSKI;15 24 34;51 01 36;KWISA
93110;GRYŻYNA;15 17;52 11;ODRA
93231;GRZEBIENISKO;16 32;52 26;KANAŁ MOSIŃSKI
92230;GRZMIĄCA;16 26;53 50;PARSĘTA
91202;GRZYBNICA;16 27;54 03;RADEW
96578;GUBAŁÓWKA;19 56;49 18;DUNAJEC
94011;GUBIN;14 46;51 57;NYSA ŁUŻYCKA
93764;GUTY DUŻE;21 16;52 56;NAREW
92347;GWIEŹDZIN;17 12;53 44;BRDA
96725;HACZÓW;21 54;49 40;WISŁOK
93913;HAJNÓWKA;23 35;52 44;LEŚNA
6632;HALA GĄSIENICOWA;20 00 21;49 14 39;BIAŁY DUNAJEC
6526;HALA ORNAK;19 52;49 14;CZARNY DUNAJEC
94915;HAŃSK;23 24;51 24;BUG
96519;HARKABUZ;19 48 52;49 32 45;CZARNA ORAWA
92926;HOŁODOLINA;23 14;53 32;BIEBRZA
95924;HRUBIESZÓW;23 53;50 48;HUCZWA
96838;HUCISKO JAWORNICKIE;22 21;49 53;WISŁOK
96844;HUSÓW;22 18;49 59;WISŁOK
96615;HUTA;20 58;49 28;POPRAD
95561;HUTKI;19 00;50 41;WARTA
5608;IGOŁOMIA;20 16;50 06;WISŁA
92528;IŁAWA;19 33;53 36;DRWĘCA
94139;IŁOWA;15 12;51 30;BÓBR
93627;IŁÓW;20 02;52 20;WISŁA
94709;IŁŻA;21 14;51 10;IŁŻANKA
95272;IMBRAMOWICE;16 34;50 58;BYSTRZYCA
3402;INOWROCŁAW;18 14;52 48;NOTEĆ
92120;IŃSKO;15 33;53 26;INA
96455;ISTEBNA;18 53 39;49 34 18;OLZA
6408;ISTEBNA-KUBALONKA;18 54;49 36;WISŁA
96403;ISTEBNA-MŁODA GÓRA;18 52;49 35;OLZA
96404;ISTEBNA-STECÓWKA;18 56 18;49 35 07;OLZA
96402;ISTEBNA-WIEŚ;18 54;49 34;OLZA
94429;IWANOWICE;18 18 57;51 39 11;TROJANÓWKA
95517;IWANOWICE;19 59;50 13;DŁUBNIA
94124;IWINY;15 42;51 12;BÓBR
96646;IWKOWA;20 35;49 49;DUNAJEC
91355;IZBICA;17 26 19;54 41 00;ŁEBA
93429;IZBICA KUJAWSKA;18 °4 6';52 °2 6';NOTEĆ
93423;JABŁONKA;18 07;52 22;WARTA
93219;JABŁONNA;16 12;52 12;OBRA
92518;JABŁONOWO;19 10;53 24;OSA
95611;JADOWNIKI MOKRE;20 44;50 10;WISŁA
95114;JAGNIĄTKÓW;15 37;50 49;BÓBR
93448;JAKSICE;18 11;52 51;NOTEĆ
93462;JAKSICE II;18 11 59;52 52 15;NOTEĆ
95301;JAKUBOWICE;17 51;50 01;OPAWA
95613;JAKUBOWICE;20 19;50 11;SZRENIAWA
5150;JAKUSZYCE;15 27;50 49;BÓBR
95113;JAKUSZYCE;15 27;50 49;BÓBR
92951;JAŁÓWKA;23 21;53 22;SUPRAŚL
95132;JANICE;15 32;50 58;BÓBR
94244;JANISZEWO;16 46;51 46;BARYCZ
93348;JANOWIEC WIELKOPOLSKI;17 29;52 46;WEŁNA
92923;JANÓW;23 14;53 28;BIEBRZA
95838;JANÓW LUBELSKI;22 25;50 43;SAN
95577;JANUSZEWICE;19 58;50 57;PILICA
95103;JARKOWICE;15 53;50 44;BÓBR
93854;JARNICE;22 01;52 22;LIWIEC
95311;JARNOŁTÓWEK;17 27;50 17;ODRA
5802;JAROCIN;22 18;50 34;SAN
95801;JAROSŁAW;22 41;50 02;SAN
94556;JAROSTY;19 41 31;51 27 45;PILICA
96639;JASIENNA;20 50;49 43;DUNAJEC
96623;JASIONÓW;20 02;49 35;RABA
96729;JASŁO;21 28;49 44;JASIOŁKA
96756;JASŁO;21 29;49 44;WISŁOKA
91433;JASTARNIA;18 40;54 42;BAŁTYK
92214;JASTROWIE;16 49;53 26;GWDA
6650;JASTRZĘBIA;20 54;49 47;DUNAJEC
92950;JASTRZĘBNA PIERWSZA;23 13;53 44;BIEBRZA
95762;JASTRZĘBSKA WOLA;21 11;50 43;CZARNA
94401;JASTRZYGOWICE;18 20;51 00;PROSNA
92537;JAŚKOWO;19 44;53 49;DRWĘCA
96707;JAŚLISKA;21 49;49 27;WISŁOKA
96575;JAWISZOWICE;19 08;49 58;WISŁA
94205;JAWOR;16 11;51 03;KACZAWA
94840;JEDLANKA;22 06;51 56;TYŚMIENICA
95247;JEDLINA-ZDRÓJ;16 21;50 44;BYSTRZYCA
92705;JEDNOROŻEC;21 03;53 09;ORZYC
4350;JELCZ-LASKOWICE;17 21;51 03;WIDAWA
92626;JEMIOŁOWO;20 17 58;53 33 42;PASŁĘKA
92536;JERZWAŁD;19 32;53 47;DRWĘCA
93464;JEZIORKI;18 08 46;52 37 10;NOTEĆ
92359;JEZIORNA;17 55;53 57;WDA
3205;JEZIORY;16 48;52 16;WARTA
94552;JEŻÓW;19 58;51 49;BZURA
91218;JEŻYCZKI;16 24;54 20;WIEPRZA
96736;JODŁOWA;21 19;49 53;WISŁOKA
6602;JODŁOWNIK;20 15;49 47;STRADOMKA
96539;JORDANÓW;19 50;49 39;SKAWA
95911;JÓZEFÓW;23 03;50 29;TANEW
91616;JUDYTY;20 54;54 19;ŁYNA
95233;JUGÓW;16 32;50 37;NYSA KŁODZKA
95125;KACZORÓW;15 58;50 55;KACZAWA
96418;KACZYCE;18 37;49 50;OLZA
95462;KADŁUB-PIEC;18 17;50 36;MAŁA PANEW
92708;KADZIDŁO;21 28;53 14;NAREW
92423;KALISKA;18 25;53 30;WDA
96853;KALNICA;22 26;49 12;SAN
96567;KALWARIA ZEBRZYDOWSKA;19 42;49 52;WISŁA
96599;KALWARIA ZEBRZYDOWSKA;19 41 07;49 52 12;WISŁA
96532;KAMESZNICA;19 04;49 36;SOŁA
92329;KAMIENICA;17 49;53 29;BRDA
95276;KAMIENICA;16 53;50 13;BIAŁA LĄDECKA
95224;KAMIENIEC ZĄBKOWICKI;16 52;50 31;NYSA KŁODZKA
92104;KAMIENNA;15 56;53 02;DRAWA
95254;KAMIENNA GÓRA;16 02 16;50 46 03;BÓBR
92334;KAMIEŃ KRAJEŃSKI;17 32;53 32;BRDA
92922;KAMIONKA;23 02;53 26;BIEBRZA
94906;KANIE;23 07;51 09;WIEPRZ
94010;KANIÓW;14 55;51 56;NYSA ŁUŻYCKA
96845;KAŃCZUGA;22 24 26;49 59 07;WISŁOK
93104;KARGOWA;15 52;52 05;OBRZYCA
95483;KARMONKI NOWE;18 35;50 55;LISWARTA
5105;KARPACZ;15 47;50 47;BÓBR
91308;KARPNO;17 48;54 07;WDA
92211;KARSIBÓR;16 24;53 22;PIŁAWA
92259;KARSIBÓR II;16 23 53;53 21 06;PIŁAWA
92026;KARTLEWO;14 48;53 48;DZIWNA
91421;KARTUZY;18 12;54 20;MARTWA WISŁA
1302;KARŻNICZKA;17 14;54 29;SŁUPIA
91606;KASZUNY;20 20;54 09;PASŁĘKA
3607;KAWĘCZYN;20 21;52 10;BZURA
93660;KAWĘCZYN;20 21 00;52 10 18;BZURA
94716;KAZIMIERZ DOLNY;21 57;51 20;WISŁA
95617;KAZIMIERZA MAŁA;20 32;50 16;WISŁA
91529;KĄTY RYBACKIE;19 12 51;54 19 59;ZALEW WIŚLANY
94204;KĄTY WROCŁAWSKIE;16 46;51 02;BYSTRZYCA
94805;KĘPA;22 15 06;51 03 46;WISŁA
95545;KĘPIE;19 56;50 28;PILICA
94414;KĘPNO;18 00;51 17;PROSNA
96568;KĘTY;19 14;49 53;SOŁA
94452;KIEŁCZYGŁÓW;18 59 01;51 14 18;WIDAWKA
95411;KIETRZ;18 01;50 05;ODRA
92647;KIKITY;20 52;53 59;ŁYNA
92655;KIKITY II;20 52 38;53 58 58;ŁYNA
93916;KLEJNIKI;23 24;52 50;NAREW
93907;KLESZCZELE;23 21;52 34;NURZEC
93306;KLĘKA;17 25;52 05;WARTA
95739;KLIMONTÓW;21 27;50 40;KOPRZYWIANKA
95634;KLISZÓW;20 32;50 37;NIDA
92326;KLONOWO;17 58;53 27;BRDA
92223;KLUCZEWO;16 11;53 39;DRAWA
91354;KLUKI;17 22 16;54 41 18;ŁEBA
91319;KLUKOWA HUTA;17 54;54 15;MARTWA WISŁA
95482;KŁOBUCK;18 56;50 54;LISWARTA
93415;KŁODAWA;18 53 33;52 14 57;WARTA
1503;KMIECIN;19 10;54 11;SZKARPAWA
95410;KOBIÓR;18 55;50 04;WISŁA
95475;KOBYLNO;18 07;50 48;STOBRAWA
95582;KOBYŁCZYCE;19 22;50 48;WARTA
96552;KOCIERZ MOSZCZANICKI;19 16;49 44;SOŁA
94827;KOCK;22 27;51 38;TYŚMIENICA
94927;KODEŃ;23 37;51 56;BUG
5709;KOLBUSZOWA;21 48;50 14;PRZYRWA
95761;KOLBUSZOWA;21 48;50 14;WISŁA
92716;KOLNO;21 56;53 24;PISA
93667;KOLONIA KAWĘCZYN;20 21 17;52 10 56;BZURA
94950;KOLONIA ZAKRĘCIE;23 07;51 01;WIEPRZ
93441;KOŁODZIEJEWO;18 02;52 43;NOTEĆ
93773;KOMOROWO;21 50;52 49;NAREW
96401;KONIAKÓW;18 57;49 33;OLZA
95570;KONIECPOL;19 43;50 48;PILICA
95642;KONIECZNO;20 03;50 48;NIDA
93413;KONIN;18 14;52 13;WARTA
93214;KONOJAD;16 33;52 09;KANAŁ MOSIŃSKI
2404;KOŃCZEWICE;18 33;53 11;WISŁA
